2024-09-21 20:45:49,734 - .git | N/A | Directory | DeepPython
2024-09-21 20:45:49,735 - .idea | N/A | Directory | DeepPython
2024-09-21 20:45:49,735 - .venv | N/A | Directory | DeepPython
2024-09-21 20:45:49,735 - homework01 | N/A | Directory | DeepPython
2024-09-21 20:45:49,735 - homework02 | N/A | Directory | DeepPython
2024-09-21 20:45:49,735 - homework03 | N/A | Directory | DeepPython
2024-09-21 20:45:49,735 - homework04 | N/A | Directory | DeepPython
2024-09-21 20:45:49,736 - homework05 | N/A | Directory | DeepPython
2024-09-21 20:45:49,736 - homework06 | N/A | Directory | DeepPython
2024-09-21 20:45:49,736 - homework07 | N/A | Directory | DeepPython
2024-09-21 20:45:49,736 - homework08 | N/A | Directory | DeepPython
2024-09-21 20:45:49,736 - homework09 | N/A | Directory | DeepPython
2024-09-21 20:45:49,736 - homework10 | N/A | Directory | DeepPython
2024-09-21 20:45:49,737 - homework11 | N/A | Directory | DeepPython
2024-09-21 20:45:49,737 - homework12 | N/A | Directory | DeepPython
2024-09-21 20:45:49,737 - homework13 | N/A | Directory | DeepPython
2024-09-21 20:45:49,737 - homework14 | N/A | Directory | DeepPython
2024-09-21 20:45:49,737 - homework15_final | N/A | Directory | DeepPython
2024-09-21 20:45:49,738 - main | py | File | DeepPython
2024-09-21 20:45:49,738 - seminar02 | N/A | Directory | DeepPython
2024-09-21 20:45:49,738 - seminar03 | N/A | Directory | DeepPython
2024-09-21 20:45:49,738 - seminar04 | N/A | Directory | DeepPython
2024-09-21 20:45:49,738 - seminar05 | N/A | Directory | DeepPython
2024-09-21 20:45:49,738 - seminar06 | N/A | Directory | DeepPython
2024-09-21 20:45:49,738 - seminar07 | N/A | Directory | DeepPython
2024-09-21 20:45:49,739 - seminar08 | N/A | Directory | DeepPython
2024-09-21 20:45:49,739 - seminar09 | N/A | Directory | DeepPython
2024-09-21 20:45:49,739 - seminar10 | N/A | Directory | DeepPython
2024-09-21 20:45:49,739 - seminar11 | N/A | Directory | DeepPython
2024-09-21 20:45:49,739 - seminar12 | N/A | Directory | DeepPython
2024-09-21 20:45:49,739 - seminar13 | N/A | Directory | DeepPython
2024-09-21 20:45:49,739 - seminar14 | N/A | Directory | DeepPython
2024-09-21 20:45:49,740 - seminar15 | N/A | Directory | DeepPython
2024-09-21 20:45:49,740 - test | py | File | DeepPython
2024-09-21 20:45:49,740 - test_folder | N/A | Directory | DeepPython
